"Day","Category","ColorName","ColorHex","Neighborhood","Place","Priority","Borough","AddressExact","Notes"
"Day 7","Activity","Blue","#1976D2","Bronx","The Melrose Hotel / luggage pickup","base","Bronx","444 East 149th Street, Bronx, NY 10455",""
"Day 7","Activity","Blue","#1976D2","Bronx","Yankee Stadium exterior / 161st Street","must-see","Bronx","1 E 161st St, Bronx, NY 10451",""
"Day 7","Activity","Blue","#1976D2","Midtown","Penn Station / Herald Square alternative","alternative","Manhattan","New York Penn Station, New York, NY 10001",""
"Day 7","Activity","Blue","#1976D2","Newark","Newark Liberty Airport Station","transport","New Jersey","Newark Liberty International Airport Station, Newark, NJ 07114",""
"Day 7","Food","Orange","#F57C00","Penn Station","Lunch near Penn Station / Herald Square","suggestion","Manhattan","Penn Station, New York, NY 10001",""
"Day 7","Food","Orange","#F57C00","Penn Station","NY Pizza Suprema","suggestion","Manhattan","413 8th Ave, New York, NY 10001","Fast, luggage-friendly Penn Station lunch"
"Day 7","Food","Orange","#F57C00","Times Square","Los Tacos No. 1 Times Square","suggestion","Manhattan","229 W 43rd St, New York, NY 10036","Short subway/walk from Penn if there is time"
"Day 7","Food","Orange","#F57C00","Koreatown","Woorijip","suggestion","Manhattan","12 W 32nd St, New York, NY 10001","Easy pre-airport meal near Herald Square"
"Day 7","Food","Orange","#F57C00","Herald Square","Shake Shack Herald Square","suggestion","Manhattan","1333 Broadway, New York, NY 10018","Simple teen-friendly fallback"
"Day 7","Food","Orange","#F57C00","Penn Station","Best Bagel & Coffee","suggestion","Manhattan","225 W 35th St A, New York, NY 10001","Fast bagel option near Penn"
